Japan,Romaji,Definitions
ガイドブック,gaidobukku,Guidebook
地,chi,Land
のみ,nomi,only
み,mi,fruit
書か,kaka,Writing
べき,beki,Should be
たり,tari,Otherwise
ブロック,burokku,block
私,watashi,I
戦,sen,War
公式,koushiki,official
出演,shutsuen,Appearance
可能,kanou,Possible
登場,toujou,Appearance
等,nado,etc
系,kei,system
特別,tokubetsu,special
監督,kantoku,directed by
氏,shi,Mr.
次,tsugi,Next
だっ,datsu,But
高等,koutou,High
時間,jikan,time
き,ki,tree
～,~,~
内,nai,Inside
音楽,ongaku,music
歴史,rekishi,history
所,tokoro,Place
発売,hatsubai,Release
だけ,dake,only
語,go,word
なかっ,nakatsu,Not
ボックス,bokkusu,box
生徒,seito,student
学,gaku,Learning
記録,kiroku,record
軍,gun,army
万,man,Ten thousand
！,!,!
場,ba,Place
全,zen,all
別,betsu,another
初,hatsu,first time
シリーズ,shiriizu,series
土,tsuchi,soil
木,ki,wood
総合,sougou,Comprehensive
何,nani,what
行っ,itsu,Going to
ゲーム,geemu,game
サイト,saito,site
関係,kankei,relationship
られる,rareru,Be
お願い,o,please
同じ,onaji,same
サンド,sando,sand
つ,tsu,Dedicated
考え,kangae,idea
見,ken,look
火,hi,fire
アルバム,arubamu,album
点,ten,point
機,ki,Machine
アニメ,anime,animation
国際,kokusai,international
法,hou,Law
ドラマ,dorama,Drama
大阪,oosaka,Osaka
ただし,tadashi,however
行わ,okonawa,Holding
たち,tachi,All
柱,hashira,Pillar
マニュアル,manyuaru,manual
リーグ,riigu,league
コメント,komento,comment
教育,kyouiku,education
野球,yakyuu,baseball
方々,katagata,Persons
確認,kakunin,confirmation
役,yaku,Role
株式会社,kabushikigaisha,Ltd.
同,dou,same
こんにちは,konnichiha,Hello
書く,kaku,write
長,chou,Long
所属,shozoku,Affiliation
開始,kaishi,start
主,shu,main
形,katachi,shape
アメリカ,amerika,America
＝,,=
アカウント,akaunto,account
ここ,koko,here
選手権,senshuken,Championship
出場,shutsujou,Participation
たい,tai,sea ​​bream
存在,sonzai,Existence
十,juu,Ten
記述,kijutsu,Description
際,kiwa,edge
参考,sankou,reference
事典,jiten,Encyclopedia
ら,ra,and others
史,shi,History
以上,ijou,that's all
以下,ika,the following
作,saku,Work
競技,kyougi,Competition
方法,houhou,Method
結果,kekka,result
世,yo,world
続け,tsuzuke,continue
における,niokeru,In
歳,toshi,age
システム,shisutemu,system
および,oyobi,and
科,ka,Department
権,ken,Right
参加,sanka,Participation
車,kuruma,car
地域,chiiki,region
委員,iin,Committee member
その後,sono,after that
高,taka,High
クラブ,kurabu,club
事業,jigyou,business
都,miyako,Capital
今後,kongo,from now on
名前,namae,name
よく,yoku,often
式,shiki,formula
小学校,shougakkou,primary school
度,do,Every time
期,ki,Period
作曲,sakkyoku,Composition
巻,kan,roll
発言,hatsugen,comment
集,shuu,collection
和書,washo,Japanese book
王,ou,king
ソート,sooto,sort
バス,basu,bus
一部,ichibu,part
しかし,shikashi,but
？,？,?
事,koto,case
多く,ooku,Many
にて,nite,At
開催,kaisai,hold
開発,kaihatsu,development
デフォルト,deforuto,Default
下さい,kudasai,Please
なお,nao,note that
百科,hyakka,Encyclopedia
自由,jiyuu,freedom
会社,kaisha,company
御,o,You
作業,sagyou,work
読み,yomi,reading
下,shita,under
編,hen,Edition
南,minami,South
事件,jiken,Case
受け,uke,received
に関して,ni,About
世紀,seiki,century
カテゴリ,kategori,category
過去,kako,past
代,dai,Substitute
しまっ,shimatsu,Gathering
表記,hyouki,labels
中央,chuuou,Center
優勝,yuushou,win
以降,ikou,from
明治,meiji,Meiji
各,kaku,each
ね,ne,hey
選挙,senkyo,selection
出版,shuppan,Publication
北,kita,North
文章,bunshou,Sentence
発表,happyou,announcement
中国,chuugoku,China
アメリカ合衆国,amerika,united states of america
年度,nendo,year
…,…,…
→,→,→
円,en,circle
協会,kyoukai,Association
市立,shiritsu,Municipal
旧,kyuu,Old
英語,eigo,English
機関,kikan,institution
収録,shuuroku,Recording
スポーツ,supootsu,Sports
級,kyuu,Class
す,su,vinegar
約,yaku,about
担当,tantou,responsible person
及び,oyobi,as well as
東,higashi,east
一般,ippan,Ordinary
ドイツ,doitsu,Germany
著作,chosaku,Writing
当時,touji,at that time
自分,jibun,myself
文化,bunka,culture
指定,shitei,specify
地方,chihou,Region
物,mono,thing
参照,sanshou,reference
自身,jishin,Themselves
年生,nensei,Year
管理,kanri,management
制作,seisaku,Production
学生,gakusei,student
使っ,tsukatsu,Use
企業,kigyou,Company
終了,shuuryou,end
都市,toshi,City
すれ,sure,Be
名称,meishou,name
秒,byou,Second
書き,kaki,Writing
社会,shakai,society
廃止,haishi,abolition
提案,teian,suggestion
グループ,guruupu,group
漫画,manga,comics
センター,sentaa,Center
女子,joshi,Girl
決定,kettei,Decision
女性,josei,woman
よ,yo,world
四,shi,four
子,ko,Child
京都,kyouto,Kyoto
理由,riyuu,reason
中学校,chuugakkou,junior high school
番号,bangou,number
×,,×
ほか,hoka,other
記載,kisai,description
彼,kare,he
年代,nendai,Age
設立,setsuritsu,Establishment
にとって,nitotte,for
概要,gaiyou,overview
番,ban,Rank
試合,shiai,game
フランス,furansu,France
まず,mazu,first
交通,koutsuu,traffic
オリンピック,orinpikku,Olympic
禁止,kinshi,Ban
頁,peeji,page
新規,shinki,New
記念,kinen,anniversary
無視,mushi,ignore
声,koe,voice
シングル,shinguru,single
他人,tanin,others
部分,bubun,part
意見,iken,opinion
スペース,supeesu,space
すぐ,sugu,soon
でも,demo,but
色,shoku,colour
イギリス,igirisu,England
丁目,choume,Chin -chin
政治,seiji,Politics
プロ,puro,Professional
文献,bunken,Literature
その他,sono,others
設置,setchi,Installation
艦,kan,Ship
施設,shisetsu,institution
詳しく,kuwashiku,In detail
没,botsu,Dying
公開,koukai,Release
なさ,nasa,Nothing
力,chikara,Power
ラジオ,rajio,radio
意味,imi,meaning
島,shima,island
通り,touri,street
もし,moshi,if
画面,gamen,screen
製作,seisaku,Production
店,mise,shop
テンプレート,tenpureeto,template
どう,dou,copper
に対して,ni,To
節,fushi,section
修正,shuusei,Correction
名古屋,nagoya,Nagoya
全国,zenkoku,Nationwide
ながら,nagara,While
府,fu,Prefecture
連続,renzoku,continue
呼ば,yoba,Call
西,nishi,West
議員,giin,Parliamentarians
シーズン,shiizun,Season
総,sou,Total
そう,sou,yes
回答,kaitou,Answer
はじめまして,hajimemashite,nice to meet you
対象,taishou,subject
路線,rosen,Route
位置,ichi,position
なけれ,nakere,Nod
郵便,yuubin,Post
体,karada,body
道路,douro,road
いい,ii,good
人口,jinkou,population
押す,osu,push
隣,tonari,next
同様,douyou,Same
個人,kojin,Individual
行為,koui,action
面,men,surface
追加,tsuika,addition
館,kan,Mansion
そのもの,sonomono,Its itself
構い,kamai,Care
読ん,yon,Reading
馬,uma,Horse
期間,kikan,period
”,”,""""
しよ,shiyo,Sacrifice
せる,seru,Make
科学,kagaku,Science
ましょ,masho,To
城,shiro,castle
ガイド,gaido,guide
転送,tensou,send on
手,te,hand
生,nama,Living
ま,ma,devil
技術,gijutsu,Technology
あ,a,a
持つ,motsu,Hold
神,kami,God
作詞,sakushi,Lyrics
変換,henkan,change
行う,okonau,conduct
経済,keizai,economic
北海道,hokkaidou,Hokkaido
あれ,are,that
間違い,machigai,error
団,dan,Group
側,gawa,~ side
楽しみ,tanoshimi,fun
表示,hyouji,display
必ず,kanarazu,surely
種,tane,seed
閲覧,etsuran,Viewing
楽曲,gakkyoku,Music
ニュース,nyuusu,news
以外,igai,apart from
川,kawa,river
再,sai,Re -
ところ,tokoro,Part
隊,tai,Squad
星,hoshi,Star
上部,joubu,Upper part
メッセージ,messeeji,message
とても,totemo,very
現,gen,Present
調査,chousa,investigation
計画,keikaku,plan
実り,minori,Fruit
勝,kachi,Victory
メンバー,menbaa,member
多き,ooki,Many
最終,saishuu,Final
新聞,shinbun,newspaper
同年,dounen,same year
わから,wakara,I know
写真,shashin,photograph
多い,ooi,many
表,omote,table
ファースト,fu,First
中心,chuushin,center
改名,kaimei,Renamed name
海,umi,Ocean
小説,shousetsu,novel
ござい,gozai,Gain
女,onna,woman
大切,taisetsu,important
荒らし,arashi,Vandalism
タイトル,taitoru,title
キャラクター,kyarakutaa,character
／,/,/ /
ステップ,suteppu,Step
明記,meiki,Specification
山,yama,Mountain
受賞,jushou,Awarded
直し,naoshi,Fixing
“,“,""""
歌,uta,song
え,e,picture
復帰,fukki,return
※,※,*
撮影,satsuei,photograph
注,chuu,note
さらに,sarani,moreover
車両,sharyou,vehicle
回避,kaihi,Avoidance
特定,tokutei,identification
先,saki,Precedence
新た,arata,new
書,kaki,book
初心者,shoshinsha,beginner
状態,joutai,situation
トレーニング,toreeningu,training
法人,houjin,Corporation
提供,teikyou,Providing
間違え,machigae,Mistake
院,in,Hospital
劇場,gekijou,theater
または,mataha,or
出,shutsu,Out
試し,tameshi,trial
神社,jinja,shrine
予定,yotei,schedule
文,bun,Sentence
兼ね,kane,As well
例,rei,example
でし,deshi,But
地区,chiku,district
移動,idou,Migration
福岡,fukuoka,Fukuoka
当該,tougai,So
に対する,ni,Against
高校,koukou,high school
得点,tokuten,score
年齢,nenrei,age
報告,houkoku,report
目次,mokuji,table of contents
男,otoko,Man
頃,goro,Time
省,shou,Ministry
みなさん,minasan,everyone
成績,seiseki,Result
改竄,kaizan,Falsification
戦争,sensou,war
広島,hiroshima,Hiroshima
攻撃,kougeki,attack
小,shou,small
資料,shiryou,Document
ほど,hodo,Degree
うち,uchi,home
経,kei,Sutra
プロジェクト,purojiekuto,project
ちょっとした,chottoshita,It was a little
影響,eikyou,Impact
建築,kenchiku,Architecture
曖昧,aimai,ambiguous
場所,basho,place
対応,taiou,correspondence
作り上げる,tsukuriage,build up
ワンポイント,wanpointo,one point
以前,izen,Before
航空,koukuu,Aviation
橋,hashi,bridge
字,ji,Character
○,○,○
保存,hozon,keep
官,kan,Government
花,hana,flower
超,chou,Hyper
愛,ai,Love
最後,saigo,last
室,shitsu,Room
イタリア,itaria,Italy
台,dai,Stand
無,mu,Nothing
国立,kokuritsu,National national
販売,hanbai,sale
光,hikari,light
協力,kyouryoku,cooperation
いたし,itashi,In
ロシア,roshia,Russia
両,ryou,Both
横浜,yokohama,Yokohama
特に,tokuni,especially
編曲,henkyoku,Arrangement
六,roku,Six
配信,haishin,delivery
制,sei,Control
注釈,chuushaku,Annotation
サイズ,saizu,size
員,in,Member
主義,shugi,Principle
不明,fumei,not clear
卒業,sotsugyou,graduation
いう,iu,say
言語,gengo,language
県立,kenritsu,Prefectural
枠,waku,frame
用い,mochii,Use
八,hachi,Eight
掲載,keisai,publish
統合,tougou,Integration
組織,soshiki,Organization
得,e,Benefit
派,ha,Faction
営業,eigyou,sales
人間,ningen,human
こちら,kochira,Here
備考,bikou,remarks
存命,zonmei,Survival
企画,kikaku,plan
自動車,jidousha,car
モデル,moderu,model
千,sen,thousand
海軍,kaigun,Navy
ありがとう,arigatou,thank you
右,migi,right
構成,kousei,composition
公園,kouen,park
ご覧,go,Seeing
保護,hogo,protection
政府,seifu,government
今,ima,now
しか,shika,deer
統計,toukei,statistics
章,shou,chapter
愛知,aichi,Aichi
舞台,butai,stage
お知らせ,o,notice
知ら,shira,Knowing
最初,saisho,first time
ち,chi,blood
韓国,kankoku,Korea
教授,kyouju,Professor
そして,soshite,and
なし,nashi,none
時点,jiten,Point
列車,ressha,train
書い,kai,Writing
百,hyaku,hundred
組,kumi,set
条,jou,Articles
理解,rikai,Understanding
文庫,bunko,Paperback
最高,saikou,Best
所在地,shozaichi,location
父,chichi,father
テーマ,teema,theme
行政,gyousei,Government
完全,kanzen,Perfect
生活,seikatsu,life
七,shichi,Seven
設定,settei,setting
男子,danshi,Male
俳優,haiyuu,actor
実施,jisshi,implementation
朝,asa,morning
研究所,kenkyuusho,Research institute
ライブ,raibu,live
陸上,rikujou,land
空港,kuukou,airport
率,ritsu,rate
専門,senmon,Specialty
グランプリ,guranpuri,Grand Prix
特筆,tokuhitsu,Special mention
物語,monogatari,story
枚,mai,Sheet
主要,shuyou,Main
独立,dokuritsu,Independence
建設,kensetsu,construction
娘,musume,daughter
正,sei,Positive
森,mori,wood
未,hitsuji,Not
音,oto,sound
しまう,shimau,Be
生年月日,seinengappi,date of birth
校,kou,school
通常,tsuujou,generally
発生,hassei,occurrence
群,gun,group
目的,mokuteki,the purpose
獲得,kakutoku,Acquisition
全て,subete,all
源,gen,source
向け,muke,for
国道,kokudou,National road
公,kou,public
女優,joyuu,actress
一方,ippou,on the other hand
就任,shuunin,Appointment
年間,nenkan,Year
風,kaze,Wind
件,ken,subject
かも,kamo,maybe
提出,teishutsu,Submission
反対,hantai,oppose
連合,rengou,Coalition
学者,gakusha,Scholar
本社,honsha,main office
解説,kaisetsu,Explanation
祭,matsuri,Festival
新潟,niigata,Niigata
務め,tsutome,Duties
わ,wa,circle
それぞれ,sorezore,Each
分類,bunrui,Classification
一つ,hitotsu,one
ちゃん,chan,Chan
千葉,chiba,Center
判断,handan,Judgment
デビュー,debyuu,debut
団体,dantai,Group
宇宙,uchuu,universe
投票,touhyou,vote
かつて,katsute,Once
戦闘,sentou,fight
アジア,ajia,Asia
当初,tousho,Beginning
財団,zaidan,Foundation
重,juu,Heavy
指摘,shiteki,indicate
じ,ji,character
これら,korera,these
と共に,to,With
億,oku,hundred million
鈴木,suzuki,Suzuki
サービス,saabisu,service
とも,tomo,friend
之,yuki,this
年月日,nengappi,date
生まれ,umare,birth
佐藤,satou,Sato
製造,seizou,Manufacturing
電車,densha,train
副,fuku,Vice
外,soto,Outside
複数,fukusuu,multiple
構造,kouzou,structure
思わ,omowa,Thinking
デザイン,dezain,design
雑誌,zasshi,magazine
限定,gentei,exclusive
発行,hakkou,issue
帝国,teikoku,Empire
原作,gensaku,original
とともに,totomoni,With
論,ron,Argument
重要,juuyou,important
事務所,jimusho,office
文字,moji,letter
脚本,kyakuhon,Script
評価,hyouka,evaluation
心,kokoro,heart
票,hyou,Vote
病院,byouin,hospital
状況,joukyou,situation
競馬,keiba,Horse racing
ダム,damu,dam
持っ,motsu,Holding
行,gyou,line
契約,keiyaku,contract
国内,kokunai,Domestic
良い,yoi,good
警察,keisatsu,police
寺,tera,temple
対,tsui,versus
こ,ko,child
戦い,tatakai,Fight
独自,dokuji,Unique
こう,kou,shell
データ,deeta,data
主張,shuchou,Claim
☆,☆,☆
誌,shi,magazine
スーパー,suupaa,Supermarket
藩,han,Clan
り,ri,the law of nature
バンド,bando,band
真,makoto,true
埼玉,saitama,Saitama
言葉,kotoba,words
夏,natsu,summer
映像,eizou,picture
実際,jissai,actual
いく,iku,go
付,tsuki,Attached
公演,kouen,Performance
含む,fukumu,include
イベント,ibento,event
項,kou,Section
フジテレビ,fujiterebi,"Fuji Television Network, Inc"
達,tooru,Daiser
よろしく,yoroshiku,nice to meet you
リリース,ririisu,release
師,shi,Teacher
最大,saidai,maximum
代目,daime,generation
アップ,appu,up
量,ryou,amount
マン,man,man
運営,un'ei,operation
運動,undou,motion
表現,hyougen,Expression
田中,tanaka,Tanaka
彼女,kanojo,she
街,machi,Town
家族,kazoku,family
訳,wake,reason
米,kome,Rice
ノ,no,of
ログイン,roguin,Login
履歴,rireki,history
会議,kaigi,meeting
圏,ken,Sphere
石,ishi,stone
現代,gendai,present day
神奈川,kanagawa,Kanagawa
面積,menseki,area
事実,jijitsu,fact
使わ,tsukawa,Using
文学,bungaku,literature
ヨーロッパ,yooroppa,Europe
着,chaku,Wearing
基礎,kiso,Foundation
ゆう,yuu,excellent
少年,shounen,boy
運行,unkou,Operation
どの,dono,Which
高い,takai,expensive
翻訳,honyaku,translation
行い,okonai,Do
様,sama,looks
生産,seisan,production
士,samurai,Man
すべて,subete,all
相手,aite,partner
船,fune,ship
合併,gappei,merger
無い,nai,No
山口,yamaguchi,Yamaguchi
作っ,tsukutsu,Making
詳細,shousai,detail
開業,kaigyou,Opening a business
夢,yume,dreams
電気,denki,electricity
福島,fukushima,Fukushima
環境,kankyou,environment
非,hi,Unlucky
全体,zentai,whole
高速,kousoku,high speed
ネット,netto,Net
段,dan,Steps
国家,kokka,Nation
江戸,edo,Edo
分割,bunkatsu,Split
競走,kyousou,race
まま,mama,Be
地名,chimei,Place name
盤,ban,Board
大正,taishou,Taisho
国籍,kokuseki,Country of Citizenship
採用,saiyou,Recruitment
静岡,shizuoka,Shizuoka
長野,nagano,Nagano
図,zu,figure
気,ki,air
通信,tsuushin,communication
いただき,itadaki,Request
行動,koudou,Behavior
勝利,shouri,victory
わけ,wake,reason
発見,hakken,discover
初代,shodai,First generation
スペイン,supein,Spain
社長,shachou,president
種類,shurui,kinds
能力,nouryoku,ability
妻,tsuma,wife
ほう,hou,law
母,haha,mother
学園,gakuen,Academy
通,toori,Passage
英,ei,British
支援,shien,support
登録,touroku,register
編成,hensei,Formation
共同,kyoudou,Joint
