Japan,Romaji,Definitions
表現,,Expression
田中,,Tanaka
彼女,,she
街,,Town
家族,,family
訳,,reason
米,,Rice
ノ,,of
ログイン,,Login
履歴,,history
会議,,meeting
圏,,Sphere
石,,stone
現代,,present day
神奈川,,Kanagawa
面積,,area
事実,,fact
使わ,,Using
文学,,literature
ヨーロッパ,,Europe
着,,Wearing
基礎,,Foundation
ゆう,,excellent
少年,,boy
運行,,Operation
どの,,Which
高い,,expensive
翻訳,,translation
行い,,Do
様,,looks
生産,,production
士,,Man
すべて,,all
相手,,partner
船,,ship
合併,,merger
無い,,No
山口,,Yamaguchi
作っ,,Making
詳細,,detail
開業,,Opening a business
夢,,dreams
電気,,electricity
福島,,Fukushima
環境,,environment
非,,Unlucky
全体,,whole
高速,,high speed
ネット,,Net
段,,Steps
国家,,Nation
江戸,,Edo
分割,,Split
競走,,race
まま,,Be
地名,,Place name
盤,,Board
大正,,Taisho
国籍,,Country of Citizenship
採用,,Recruitment
静岡,,Shizuoka
長野,,Nagano
図,,figure
気,,air
通信,,communication
いただき,,Request
行動,,Behavior
勝利,,victory
わけ,,reason
発見,,discover
初代,,First generation
スペイン,,Spain
社長,,president
種類,,kinds
能力,,ability
妻,,wife
ほう,,law
母,,mother
学園,,Academy
通,,Passage
英,,British
支援,,support
登録,,register
編成,,Formation
共同,,Joint
